,Year,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,Unnamed: 0
219,2018,Prospect Lefferts Gardens,Caribbean Restaurant,Café,Pizza Place,Bakery,Wine Shop,Italian Restaurant,Music Venue,Other Great Outdoors,Cocktail Bar,Liquor Store,Grocery Store,Bank,Pharmacy,Juice Bar,Playground,American Restaurant,Indian Restaurant,Discount Store,Miscellaneous Shop,Paella Restaurant,219.0
220,2018,Prospect Park South,Caribbean Restaurant,Pizza Place,Mexican Restaurant,Grocery Store,Bar,Mobile Phone Shop,Wine Shop,Coffee Shop,Latin American Restaurant,Park,Bakery,Bank,Thai Restaurant,Health Food Store,Miscellaneous Shop,Chinese Restaurant,Burger Joint,Indian Restaurant,Café,Vegetarian / Vegan Restaurant,220.0
221,2018,Queens Village,Liquor Store,Pizza Place,Bakery,Pharmacy,Sandwich Place,Donut Shop,Caribbean Restaurant,Bank,Chinese Restaurant,Discount Store,Bar,Market,Martial Arts Dojo,Theater,Salon / Barbershop,Arts & Crafts Store,Motorcycle Shop,Bus Station,Latin American Restaurant,Video Store,221.0
222,2018,Queensboro Hill,Chinese Restaurant,Bakery,Supermarket,Park,Soccer Field,Flower Shop,Bus Station,Bank,Deli / Bodega,Historic Site,Playground,Intersection,College Gym,Health & Beauty Service,Baseball Field,Bar,Dumpling Restaurant,Bagel Shop,Cantonese Restaurant,Malay Restaurant,222.0
223,2018,Queensbridge,Hotel,Coffee Shop,Café,Deli / Bodega,Italian Restaurant,Bar,Brewery,Sandwich Place,Roof Deck,Bubble Tea Shop,Supermarket,Greek Restaurant,Park,Climbing Gym,Mexican Restaurant,Gym / Fitness Center,Donut Shop,American Restaurant,Gym,Pizza Place,223.0
224,2018,Randall Manor,Deli / Bodega,Bus Stop,Bar,Park,Chinese Restaurant,Fast Food Restaurant,Coffee Shop,Playground,Bagel Shop,Supermarket,Discount Store,Breakfast Spot,Taco Place,Botanical Garden,Concert Hall,Board Shop,Cultural Center,Tennis Court,Juice Bar,Pizza Place,224.0
225,2018,Ravenswood,Italian Restaurant,Café,Thai Restaurant,Bar,Mexican Restaurant,Bagel Shop,Brazilian Restaurant,Greek Restaurant,Cocktail Bar,Grocery Store,Coffee Shop,Gastropub,Seafood Restaurant,Pizza Place,American Restaurant,Lounge,Deli / Bodega,Food Truck,Spa,Middle Eastern Restaurant,225.0
226,2018,Red Hook,Park,Bar,Art Gallery,Seafood Restaurant,Café,Wine Shop,Food Truck,American Restaurant,Bagel Shop,Baseball Field,Brewery,Gym / Fitness Center,Flower Shop,Farm,Coffee Shop,Scenic Lookout,Sandwich Place,Track,Boat or Ferry,Pizza Place,226.0
227,2018,Rego Park,Pizza Place,Bakery,Grocery Store,Sandwich Place,Sushi Restaurant,Deli / Bodega,Liquor Store,Pharmacy,Supermarket,Gym / Fitness Center,Donut Shop,Coffee Shop,Bagel Shop,Shanghai Restaurant,Restaurant,Bank,Asian Restaurant,Furniture / Home Store,Middle Eastern Restaurant,Mexican Restaurant,227.0
228,2018,Remsen Village,Caribbean Restaurant,Grocery Store,Donut Shop,Bus Station,Moving Target,Food,Fast Food Restaurant,Liquor Store,Supermarket,Fried Chicken Joint,Food Truck,Fish Market,Deli / Bodega,Chinese Restaurant,Discount Store,Sandwich Place,Pizza Place,Metro Station,Mobile Phone Shop,Department Store,228.0
229,2018,Richmond Hill,Indian Restaurant,Discount Store,Pizza Place,Deli / Bodega,Cosmetics Shop,Park,Clothing Store,Mexican Restaurant,Bar,Bank,Lounge,Sandwich Place,Latin American Restaurant,Playground,Chinese Restaurant,Diner,Donut Shop,Italian Restaurant,Gas Station,Caribbean Restaurant,229.0
230,2018,Richmond Town,Italian Restaurant,Donut Shop,Japanese Restaurant,Art Museum,Diner,Sandwich Place,Pharmacy,Fast Food Restaurant,Spa,Grocery Store,Gym,Bank,Bagel Shop,Train Station,Restaurant,Ice Cream Shop,Hotpot Restaurant,Intersection,Entertainment Service,Ethiopian Restaurant,230.0
231,2018,Richmond Valley,Fast Food Restaurant,Café,Bank,Bakery,Italian Restaurant,Pizza Place,Coffee Shop,Gym,Pharmacy,Deli / Bodega,American Restaurant,Diner,Japanese Restaurant,Sushi Restaurant,Bar,Baseball Field,Lounge,Gym / Fitness Center,IT Services,Massage Studio,231.0
232,2018,Ridgewood,Bar,Pizza Place,Mexican Restaurant,Café,Latin American Restaurant,Restaurant,Bakery,Diner,Italian Restaurant,Gym,Grocery Store,Ice Cream Shop,Sandwich Place,Supplement Shop,Pharmacy,Bank,Coffee Shop,Cocktail Bar,Chinese Restaurant,Mobile Phone Shop,232.0
233,2018,Riverdale,Park,Pizza Place,Bar,Deli / Bodega,Diner,Bagel Shop,Plaza,Bank,Mexican Restaurant,Japanese Restaurant,Coffee Shop,Burger Joint,Sandwich Place,Bus Station,Tapas Restaurant,Café,Thai Restaurant,Baseball Field,Restaurant,River,233.0
234,2018,Rochdale,Deli / Bodega,Fast Food Restaurant,Southern / Soul Food Restaurant,Chinese Restaurant,Pharmacy,Sandwich Place,Bus Stop,Caribbean Restaurant,Laundromat,Candy Store,Pizza Place,Train Station,BBQ Joint,Bank,Market,Fried Chicken Joint,Bus Station,Discount Store,Japanese Restaurant,Breakfast Spot,234.0
235,2018,Rockaway Beach,Beach,Bar,Boat or Ferry,Bagel Shop,Food Truck,Pharmacy,Pizza Place,Eastern European Restaurant,Latin American Restaurant,Fast Food Restaurant,Metro Station,Arepa Restaurant,Supermarket,Board Shop,Seafood Restaurant,Beach Bar,BBQ Joint,Wine Bar,Ice Cream Shop,Bakery,235.0
236,2018,Rockaway Park,Beach,Pizza Place,Deli / Bodega,Donut Shop,Pharmacy,Bagel Shop,Pub,Spa,Bar,Bakery,Bank,Seafood Restaurant,Mediterranean Restaurant,Restaurant,Bed & Breakfast,Liquor Store,Event Space,Smoke Shop,Board Shop,Supermarket,236.0
237,2018,Roosevelt Island,Park,Coffee Shop,Sushi Restaurant,Greek Restaurant,Café,Pizza Place,Cocktail Bar,Deli / Bodega,Playground,Tennis Court,Salad Place,Hotel,Gym,Liquor Store,Seafood Restaurant,Ice Cream Shop,Roof Deck,History Museum,Japanese Restaurant,Scenic Lookout,237.0
238,2018,Rosebank,Italian Restaurant,Intersection,Bus Stop,Grocery Store,Mexican Restaurant,Deli / Bodega,Bar,Pizza Place,Gastropub,Nail Salon,Cajun / Creole Restaurant,Sandwich Place,Bagel Shop,Eastern European Restaurant,Art Museum,Pharmacy,Filipino Restaurant,Breakfast Spot,Dance Studio,Restaurant,238.0
239,2018,Rosedale,Caribbean Restaurant,Cosmetics Shop,Furniture / Home Store,Sandwich Place,Fried Chicken Joint,Fast Food Restaurant,Pharmacy,Grocery Store,Train Station,Bank,Hardware Store,Sculpture Garden,Gym / Fitness Center,Clothing Store,Restaurant,Park,Shopping Mall,Big Box Store,Smoke Shop,Supermarket,239.0
240,2018,Rossville,Bagel Shop,Pizza Place,Donut Shop,Golf Course,American Restaurant,Ice Cream Shop,Paintball Field,Event Space,Hardware Store,Bar,Grocery Store,Farm,Falafel Restaurant,Film Studio,Farmers Market,Fast Food Restaurant,Factory,Eye Doctor,Field,Filipino Restaurant,240.0
241,2018,Roxbury,Baseball Field,Theater,Art Gallery,Beach,Trail,Public Art,Scenic Lookout,Pier,Sports Club,Bus Stop,Fast Food Restaurant,National Park,Snack Place,Deli / Bodega,Food Truck,Irish Pub,Field,Factory,Falafel Restaurant,Farm,241.0
242,2018,Rugby,Caribbean Restaurant,Pizza Place,Grocery Store,Pharmacy,Mobile Phone Shop,Bank,Sandwich Place,Donut Shop,Chinese Restaurant,Fast Food Restaurant,Ice Cream Shop,Discount Store,Seafood Restaurant,Fried Chicken Joint,Burger Joint,Gym / Fitness Center,Diner,Moving Target,Gas Station,Business Service,242.0
243,2018,Sandy Ground,Bagel Shop,Donut Shop,Juice Bar,Bakery,Bank,Sushi Restaurant,Coffee Shop,Diner,Dog Run,Pizza Place,Pharmacy,Park,Grocery Store,Miscellaneous Shop,Mexican Restaurant,Hardware Store,Liquor Store,Laundry Service,Intersection,Trail,243.0
244,2018,Schuylerville,Pizza Place,Pharmacy,Diner,Italian Restaurant,American Restaurant,Mexican Restaurant,Supermarket,Bar,Donut Shop,Sandwich Place,Fast Food Restaurant,Martial Arts Dojo,Deli / Bodega,Ice Cream Shop,Volleyball Court,Chinese Restaurant,Sushi Restaurant,Music Store,Steakhouse,Nightlife Spot,244.0
245,2018,Sea Gate,Beach,Chinese Restaurant,Gastropub,Home Service,Donut Shop,Pizza Place,Spa,Park,Pharmacy,Fried Chicken Joint,Supermarket,Factory,Eye Doctor,Farm,Farmers Market,Fast Food Restaurant,Exhibit,Falafel Restaurant,Zoo Exhibit,Field,245.0
246,2018,Sheepshead Bay,Sushi Restaurant,Russian Restaurant,Italian Restaurant,Sandwich Place,Dessert Shop,Café,Turkish Restaurant,Pizza Place,Bank,Mobile Phone Shop,Grocery Store,Japanese Restaurant,Seafood Restaurant,Yoga Studio,Supermarket,Bagel Shop,Playground,Donut Shop,Pharmacy,Bar,246.0
247,2018,Shore Acres,Italian Restaurant,Bus Stop,Grocery Store,Deli / Bodega,Pizza Place,Bar,Mexican Restaurant,Gastropub,Toll Plaza,Breakfast Spot,Supermarket,Storage Facility,Intersection,Café,Cajun / Creole Restaurant,Chinese Restaurant,Scenic Lookout,Sandwich Place,Cosmetics Shop,Dance Studio,247.0
248,2018,Silver Lake,American Restaurant,Bagel Shop,Grocery Store,Convenience Store,Park,Spa,Pizza Place,Market,Donut Shop,Sandwich Place,Dog Run,Golf Course,Playground,Bus Stop,Burger Joint,Field,Fast Food Restaurant,Farmers Market,Filipino Restaurant,Farm,248.0
249,2018,Soho,Italian Restaurant,Café,Pizza Place,Bakery,French Restaurant,Sandwich Place,Clothing Store,Mediterranean Restaurant,Gym,Boutique,Sushi Restaurant,Cosmetics Shop,Men's Store,Cocktail Bar,Coffee Shop,Snack Place,Gourmet Shop,Salon / Barbershop,Pilates Studio,Wine Bar,249.0
250,2018,Somerville,Sandwich Place,Deli / Bodega,Harbor / Marina,Donut Shop,Playground,Grocery Store,Gym / Fitness Center,Bed & Breakfast,Bank,Thai Restaurant,Caribbean Restaurant,Coffee Shop,Farmers Market,Board Shop,Beach,Pizza Place,Brewery,Taco Place,Restaurant,Supermarket,250.0
251,2018,Soundview,Fried Chicken Joint,Fast Food Restaurant,Breakfast Spot,Grocery Store,Supermarket,Kids Store,Pizza Place,Clothing Store,Gas Station,Chinese Restaurant,Bus Station,Mobile Phone Shop,Department Store,Deli / Bodega,Park,Shopping Mall,Check Cashing Service,Mattress Store,Trail,Movie Theater,251.0
252,2018,South Beach,Beach,Pier,Skate Park,Baseball Field,Playground,Athletics & Sports,Food,American Restaurant,Soccer Field,Deli / Bodega,Park,Factory,Field,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Eye Doctor,Exhibit,Film Studio,252.0
253,2018,South Jamaica,Park,Pizza Place,Deli / Bodega,Discount Store,Shop & Service,Donut Shop,Gym,Mobile Phone Shop,Check Cashing Service,Bank,Hardware Store,Caribbean Restaurant,Coffee Shop,Grocery Store,Vegetarian / Vegan Restaurant,Sandwich Place,Bus Stop,Bus Station,Supermarket,Storage Facility,253.0
254,2018,South Ozone Park,Donut Shop,Caribbean Restaurant,Food,Deli / Bodega,Pizza Place,Indian Restaurant,Ice Cream Shop,Park,Hotel,Gym,Thai Restaurant,Mobile Phone Shop,Boat or Ferry,Moving Target,Supermarket,Rest Area,Spa,Fast Food Restaurant,Liquor Store,Seafood Restaurant,254.0
255,2018,South Side,Pizza Place,Bar,American Restaurant,Coffee Shop,Wine Bar,Bakery,Cocktail Bar,Jewelry Store,Breakfast Spot,Yoga Studio,Mexican Restaurant,Liquor Store,Vegetarian / Vegan Restaurant,Cycle Studio,Salon / Barbershop,Bookstore,Mediterranean Restaurant,Salad Place,Taco Place,Bike Shop,255.0
256,2018,Springfield Gardens,Deli / Bodega,Bus Station,Gym,Caribbean Restaurant,Park,Donut Shop,Chinese Restaurant,Train Station,Fast Food Restaurant,Liquor Store,Pizza Place,Sandwich Place,Shipping Store,Laundromat,Southern / Soul Food Restaurant,Shoe Store,Bakery,Grocery Store,Bus Stop,Clothing Store,256.0
257,2018,Spuyten Duyvil,Park,Pizza Place,Pharmacy,Sandwich Place,Bank,Mexican Restaurant,Diner,Thai Restaurant,Café,Japanese Restaurant,Chinese Restaurant,Tennis Court,Tennis Stadium,Food,Coffee Shop,Harbor / Marina,Baseball Field,Frozen Yogurt Shop,Bagel Shop,Bus Line,257.0
258,2018,St. Albans,Caribbean Restaurant,Pizza Place,Liquor Store,Deli / Bodega,Fried Chicken Joint,Dance Studio,Fish & Chips Shop,Café,Bakery,Discount Store,Chinese Restaurant,Convenience Store,Pharmacy,Train Station,Donut Shop,Video Store,Zoo Exhibit,Field,Farm,Fast Food Restaurant,258.0
259,2018,St. George,Bus Stop,Clothing Store,Pizza Place,Deli / Bodega,Café,Italian Restaurant,Bar,Brewery,Ice Cream Shop,Sporting Goods Shop,Train Station,Seafood Restaurant,Park,Sandwich Place,Burger Joint,Plaza,Steakhouse,Supermarket,Museum,Bowling Alley,259.0
260,2018,Stapleton,Deli / Bodega,Sandwich Place,Discount Store,Bank,Pharmacy,Fast Food Restaurant,Donut Shop,Cosmetics Shop,Harbor / Marina,Gym / Fitness Center,Gym,Mexican Restaurant,Beer Bar,Miscellaneous Shop,Breakfast Spot,Bus Stop,Sri Lankan Restaurant,Spanish Restaurant,Residential Building (Apartment / Condo),Park,260.0
261,2018,Starrett City,Pizza Place,Department Store,Mobile Phone Shop,Furniture / Home Store,Pharmacy,Deli / Bodega,Chinese Restaurant,Bus Stop,Breakfast Spot,Park,Donut Shop,Liquor Store,Cosmetics Shop,Shopping Mall,Arts & Crafts Store,Kids Store,Shoe Store,Bus Station,Clothing Store,American Restaurant,261.0
262,2018,Steinway,Greek Restaurant,Italian Restaurant,Pizza Place,Deli / Bodega,Sushi Restaurant,Bagel Shop,Donut Shop,Burger Joint,Grocery Store,Bar,Food Truck,Coffee Shop,Bakery,Gym,Dessert Shop,Café,Food & Drink Shop,Brewery,Brazilian Restaurant,Steakhouse,262.0
263,2018,Stuyvesant Town,Pizza Place,Cocktail Bar,Bar,Coffee Shop,Bagel Shop,Italian Restaurant,Park,Bakery,Juice Bar,Gym / Fitness Center,Gourmet Shop,Mexican Restaurant,Filipino Restaurant,Dog Run,Playground,Deli / Bodega,Ice Cream Shop,Wine Shop,American Restaurant,Wine Bar,263.0
264,2018,Sunnyside,Pizza Place,Donut Shop,Bar,Grocery Store,Bakery,Coffee Shop,Chinese Restaurant,Deli / Bodega,Pharmacy,Mexican Restaurant,Peruvian Restaurant,Sandwich Place,Skating Rink,Discount Store,Korean Restaurant,Sports Bar,Burger Joint,Diner,Italian Restaurant,Indian Restaurant,264.0
265,2018,Sunnyside Gardens,Bar,Pizza Place,Mexican Restaurant,Park,Grocery Store,Bakery,Italian Restaurant,Latin American Restaurant,Coffee Shop,Korean Restaurant,Sushi Restaurant,Thai Restaurant,Gym,Liquor Store,Supermarket,Peruvian Restaurant,Pharmacy,Turkish Restaurant,Café,American Restaurant,265.0
266,2018,Sunset Park,Bakery,Mexican Restaurant,Pizza Place,Bank,Latin American Restaurant,Chinese Restaurant,Sandwich Place,Asian Restaurant,Vietnamese Restaurant,Mobile Phone Shop,Hotpot Restaurant,Pharmacy,Fried Chicken Joint,Grocery Store,Spanish Restaurant,Café,Ice Cream Shop,Szechuan Restaurant,Tea Room,Dumpling Restaurant,266.0
267,2018,Sutton Place,Italian Restaurant,Bakery,Hotel,Park,Gym / Fitness Center,Gym,Coffee Shop,Salon / Barbershop,Spa,American Restaurant,Bagel Shop,Cycle Studio,French Restaurant,Furniture / Home Store,Mexican Restaurant,Vegetarian / Vegan Restaurant,Beer Garden,Grocery Store,Thai Restaurant,Yoga Studio,267.0
268,2018,Throgs Neck,Italian Restaurant,Deli / Bodega,Pizza Place,Donut Shop,Baseball Field,Harbor / Marina,Chinese Restaurant,Bar,Coffee Shop,Park,Fast Food Restaurant,Tennis Court,Liquor Store,Asian Restaurant,Beach,Bookstore,American Restaurant,Sports Bar,Pub,Restaurant,268.0
269,2018,Todt Hill,Campground,Donut Shop,Golf Course,Mountain,Dog Run,Park,Fish Market,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Fish & Chips Shop,Zoo Exhibit,Flea Market,Exhibit,Flower Shop,269.0
270,2018,Tompkinsville,Bus Stop,Pizza Place,Park,Clothing Store,Deli / Bodega,Italian Restaurant,Mexican Restaurant,Fast Food Restaurant,Bar,Pharmacy,Gym / Fitness Center,Donut Shop,Sporting Goods Shop,Café,Brewery,Sri Lankan Restaurant,Museum,Burger Joint,Juice Bar,Steakhouse,270.0
271,2018,Tottenville,Italian Restaurant,Deli / Bodega,Pizza Place,Beach,Bakery,Bus Stop,Park,Pool,Train Station,Ice Cream Shop,Home Service,Bagel Shop,Cosmetics Shop,Dance Studio,Filipino Restaurant,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Field,Factory,271.0
272,2018,Travis,Hotel,Gym,Park,Bowling Alley,Spanish Restaurant,Comedy Club,Sandwich Place,Sports Club,Construction & Landscaping,Baseball Field,Deli / Bodega,Italian Restaurant,Steakhouse,Food & Drink Shop,Field,Exhibit,Eye Doctor,Factory,Food Truck,Falafel Restaurant,272.0
273,2018,Tribeca,Park,Hotel,American Restaurant,Coffee Shop,Spa,Italian Restaurant,Café,Gym / Fitness Center,Men's Store,Cocktail Bar,Playground,Wine Shop,Grocery Store,Sushi Restaurant,Scenic Lookout,Wine Bar,Burger Joint,Cycle Studio,Greek Restaurant,New American Restaurant,273.0
274,2018,Tudor City,Coffee Shop,Japanese Restaurant,Grocery Store,American Restaurant,Gym,Café,Park,Sushi Restaurant,Burger Joint,Bagel Shop,Gourmet Shop,Mexican Restaurant,Pub,Bubble Tea Shop,Juice Bar,Spanish Restaurant,Pizza Place,Deli / Bodega,Seafood Restaurant,Vietnamese Restaurant,274.0
275,2018,Turtle Bay,Coffee Shop,Seafood Restaurant,Park,American Restaurant,Sushi Restaurant,Italian Restaurant,Bakery,Japanese Restaurant,Wine Bar,Sandwich Place,Thai Restaurant,Food Court,Gourmet Shop,Grocery Store,Greek Restaurant,Burger Joint,Bubble Tea Shop,Hotel,Indian Restaurant,Cheese Shop,275.0
276,2018,Unionport,Pizza Place,Spanish Restaurant,Diner,Mobile Phone Shop,Sandwich Place,Deli / Bodega,Cosmetics Shop,Donut Shop,Supermarket,Bank,Latin American Restaurant,Bus Station,Fried Chicken Joint,Clothing Store,Café,Breakfast Spot,Discount Store,Ice Cream Shop,Mexican Restaurant,Supplement Shop,276.0
277,2018,University Heights,Grocery Store,Pizza Place,Fried Chicken Joint,Donut Shop,Spanish Restaurant,Latin American Restaurant,Sandwich Place,Supermarket,African Restaurant,Bakery,Ice Cream Shop,Mobile Phone Shop,Playground,Mexican Restaurant,Bank,BBQ Joint,Bus Station,Basketball Court,Restaurant,Gym / Fitness Center,277.0
278,2018,Upper East Side,Exhibit,Coffee Shop,Italian Restaurant,Bakery,Gym / Fitness Center,Yoga Studio,Juice Bar,Mexican Restaurant,Bar,French Restaurant,Spanish Restaurant,Outdoor Sculpture,Art Museum,Art Gallery,Seafood Restaurant,Thai Restaurant,Playground,American Restaurant,Hotel,Salad Place,278.0
279,2018,Upper West Side,Park,Italian Restaurant,Gym,Coffee Shop,Bakery,Wine Bar,Café,Bar,American Restaurant,Ice Cream Shop,Pizza Place,Bookstore,Thai Restaurant,Indian Restaurant,Chinese Restaurant,Seafood Restaurant,Clothing Store,Pub,Planetarium,Dessert Shop,279.0
280,2018,Utopia,Chinese Restaurant,Japanese Restaurant,Pizza Place,Bus Station,Sandwich Place,Hotel,Park,Department Store,Ice Cream Shop,Coffee Shop,Playground,Scenic Lookout,Middle Eastern Restaurant,Mexican Restaurant,Music Store,Mattress Store,Market,Halal Restaurant,Liquor Store,Mobile Phone Shop,280.0
281,2018,Van Nest,Pizza Place,Park,Zoo,Donut Shop,Supermarket,Middle Eastern Restaurant,Bus Station,Spanish Restaurant,Smoke Shop,Coffee Shop,Sandwich Place,Gym,American Restaurant,Italian Restaurant,Diner,Multiplex,Theme Park Ride / Attraction,Thai Restaurant,Metro Station,Mexican Restaurant,281.0
282,2018,Vinegar Hill,Park,Coffee Shop,Boat or Ferry,American Restaurant,Art Gallery,Bakery,Gym,Café,Italian Restaurant,Scenic Lookout,Boxing Gym,Bar,Playground,Bookstore,Wine Shop,Yoga Studio,Food Truck,Men's Store,Mexican Restaurant,Taco Place,282.0
283,2018,Wakefield,Pharmacy,Gas Station,Pizza Place,Supermarket,Fast Food Restaurant,Caribbean Restaurant,Donut Shop,Bank,Fried Chicken Joint,Bakery,Fish Market,Burger Joint,Bagel Shop,Sandwich Place,Park,Metro Station,Chinese Restaurant,Liquor Store,Mobile Phone Shop,Ice Cream Shop,283.0
284,2018,Washington Heights,Pizza Place,Latin American Restaurant,Bakery,Park,Café,Tapas Restaurant,Spanish Restaurant,Coffee Shop,Deli / Bodega,Bar,Mexican Restaurant,Chinese Restaurant,Mobile Phone Shop,Bank,New American Restaurant,Grocery Store,Wine Shop,Sandwich Place,Scenic Lookout,Burger Joint,284.0
285,2018,Weeksville,Discount Store,Caribbean Restaurant,Southern / Soul Food Restaurant,Grocery Store,Fast Food Restaurant,Café,Park,Supermarket,Chinese Restaurant,Pizza Place,Donut Shop,Bank,Bakery,Liquor Store,Juice Bar,Bar,Deli / Bodega,Fried Chicken Joint,Recording Studio,Metro Station,285.0
286,2018,West Brighton,Italian Restaurant,Deli / Bodega,Bagel Shop,Pizza Place,Coffee Shop,Chinese Restaurant,Ice Cream Shop,Bank,Music Store,Fast Food Restaurant,Sandwich Place,Bar,Salon / Barbershop,Pharmacy,Construction & Landscaping,Donut Shop,Mexican Restaurant,Playground,Tennis Court,Board Shop,286.0
287,2018,West Farms,Pizza Place,Zoo,Park,Donut Shop,Zoo Exhibit,Fast Food Restaurant,Lounge,Sandwich Place,Fried Chicken Joint,Diner,Scenic Lookout,Grocery Store,Mobile Phone Shop,Shopping Mall,Shoe Store,Paella Restaurant,Bank,Deli / Bodega,Coffee Shop,Film Studio,287.0
288,2018,West Village,Italian Restaurant,Wine Bar,New American Restaurant,Park,Cocktail Bar,Coffee Shop,Bakery,American Restaurant,Speakeasy,Sandwich Place,Seafood Restaurant,Gourmet Shop,Steakhouse,Cheese Shop,Board Shop,Pizza Place,Jazz Club,Japanese Restaurant,Ice Cream Shop,Indian Restaurant,288.0
289,2018,Westchester Square,Pizza Place,Donut Shop,Fast Food Restaurant,Sandwich Place,Pharmacy,Bar,Deli / Bodega,Supermarket,Mobile Phone Shop,American Restaurant,Baseball Field,Diner,Italian Restaurant,Spanish Restaurant,Medical Center,Gym,Mexican Restaurant,Bank,Department Store,Park,289.0
290,2018,Westerleigh,Chinese Restaurant,Bakery,Convenience Store,Diner,Bagel Shop,Gym,Pharmacy,Mediterranean Restaurant,Asian Restaurant,Mobile Phone Shop,Video Store,Pizza Place,Bank,American Restaurant,Ice Cream Shop,Sandwich Place,Food,Café,Liquor Store,Lounge,290.0
291,2018,Whitestone,Italian Restaurant,Deli / Bodega,Pizza Place,Donut Shop,Bus Station,Bank,Diner,Bagel Shop,Sandwich Place,Martial Arts Dojo,Coffee Shop,Gym,Shopping Mall,Pharmacy,Ice Cream Shop,Japanese Restaurant,Eye Doctor,Gastropub,Park,Gas Station,291.0
292,2018,Williamsbridge,Pizza Place,Caribbean Restaurant,Fried Chicken Joint,Deli / Bodega,Bakery,Sandwich Place,Restaurant,Pharmacy,Shoe Store,Bus Station,Supermarket,Cosmetics Shop,Park,Basketball Court,Gym,Indian Restaurant,Grocery Store,Metro Station,Seafood Restaurant,Mobile Phone Shop,292.0
293,2018,Williamsburg,Bar,Pizza Place,Coffee Shop,American Restaurant,Wine Bar,Yoga Studio,Breakfast Spot,Cocktail Bar,Bakery,Salon / Barbershop,Japanese Restaurant,Art Gallery,Gym / Fitness Center,Chinese Restaurant,Diner,Sushi Restaurant,Liquor Store,Thai Restaurant,Grocery Store,Nightclub,293.0
294,2018,Willowbrook,Bus Stop,Liquor Store,Deli / Bodega,Bagel Shop,Chinese Restaurant,Pizza Place,Mobile Phone Shop,Pharmacy,Mexican Restaurant,Halal Restaurant,Italian Restaurant,Home Service,Campground,Café,Food,Sushi Restaurant,Moving Target,Coffee Shop,American Restaurant,Convenience Store,294.0
295,2018,Windsor Terrace,Café,Park,Italian Restaurant,Bar,Diner,Wine Shop,Deli / Bodega,American Restaurant,Coffee Shop,Plaza,Playground,Pizza Place,French Restaurant,Middle Eastern Restaurant,Yoga Studio,Bakery,Bagel Shop,Grocery Store,Bookstore,Scenic Lookout,295.0
296,2018,Wingate,Caribbean Restaurant,Grocery Store,Deli / Bodega,Pizza Place,Sandwich Place,Donut Shop,Fried Chicken Joint,Fast Food Restaurant,Bakery,Pharmacy,Café,Discount Store,Bagel Shop,Ice Cream Shop,Mobile Phone Shop,Field,Liquor Store,Japanese Restaurant,Bank,Sushi Restaurant,296.0
297,2018,Woodhaven,Pizza Place,Deli / Bodega,Pharmacy,Supermarket,Fried Chicken Joint,Latin American Restaurant,Hookah Bar,Donut Shop,Sandwich Place,Grocery Store,Bank,Restaurant,American Restaurant,Clothing Store,Bar,Metro Station,Mexican Restaurant,Gun Range,Ice Cream Shop,Gift Shop,297.0
298,2018,Woodlawn,Pub,Bar,Deli / Bodega,Discount Store,Pizza Place,Baseball Field,Donut Shop,Italian Restaurant,Bank,Bakery,Rental Car Location,Caribbean Restaurant,Shipping Store,Track,Convenience Store,Bagel Shop,Bus Station,Diner,Train Station,Playground,298.0
299,2018,Woodrow,Bus Stop,Juice Bar,Laundry Service,Sushi Restaurant,Park,Grocery Store,Miscellaneous Shop,Mexican Restaurant,Basketball Court,Bank,Bakery,Coffee Shop,Liquor Store,Pharmacy,Donut Shop,Italian Restaurant,Diner,Dog Run,Flea Market,Farmers Market,299.0
300,2018,Woodside,Food Truck,Indian Restaurant,Thai Restaurant,Bakery,Grocery Store,American Restaurant,Latin American Restaurant,Bar,Pub,Pizza Place,Filipino Restaurant,Ice Cream Shop,Diner,Mexican Restaurant,Park,Gym,Sushi Restaurant,Donut Shop,Tibetan Restaurant,Coffee Shop,300.0
301,2018,Yorkville,Coffee Shop,Italian Restaurant,Gym,Pizza Place,Ice Cream Shop,Japanese Restaurant,Deli / Bodega,Bagel Shop,Bakery,Bar,Wine Shop,Mexican Restaurant,Gym / Fitness Center,Sandwich Place,Burger Joint,Café,Thai Restaurant,Juice Bar,Park,Grocery Store,301.0
0,2019,Allerton,Pizza Place,Fried Chicken Joint,Donut Shop,Sandwich Place,Caribbean Restaurant,Deli / Bodega,Fast Food Restaurant,Pharmacy,Supermarket,Bar,Convenience Store,Discount Store,Construction & Landscaping,Diner,Basketball Court,Metro Station,Mexican Restaurant,Mobile Phone Shop,Bike Trail,Breakfast Spot,0.0
1,2019,Annadale,Restaurant,Trail,Pizza Place,Diner,Food,Park,Train Station,Home Service,Liquor Store,Elementary School,Sushi Restaurant,American Restaurant,Deli / Bodega,Cosmetics Shop,Fish Market,Factory,Falafel Restaurant,Farm,Farmers Market,Dance Studio,1.0
